classifier,score_name,scoring,scoring avg,data
Decision Tree,roc_auc,[0.31818182 0.15983471 0.79355372 0.63552189 0.18181818],0.41778206305479026,individuals per player
Decision Tree,roc_auc_ovr,[0.31818182 0.15983471 0.79355372 0.63552189 0.18181818],0.41778206305479026,individuals per player
Decision Tree,roc_auc_ovo,[0.31818182 0.15983471 0.79355372 0.63552189 0.18181818],0.41778206305479026,individuals per player
Decision Tree,roc_auc_ovr_weighted,[0.31818182 0.15983471 0.79355372 0.63552189 0.18181818],0.41778206305479026,individuals per player
Decision Tree,roc_auc_ovo_weighted,[0.31818182 0.15983471 0.79355372 0.63552189 0.18181818],0.41778206305479026,individuals per player
Random Forest,accuracy,[0.33636364 0.37272727 0.62727273 0.55963303 0.36697248],0.4525938281901585,individuals per player
Random Forest,balanced_accuracy,[0.33636364 0.37272727 0.62727273 0.55959596 0.36363636],0.45191919191919194,individuals per player
Random Forest,average_precision,[0.3971681  0.42384942 0.73612767 0.58924653 0.43426041],0.5161304237972165,individuals per player
Random Forest,neg_brier_score,[-0.50631799 -0.38097398 -0.19325431 -0.2390812  -0.32912452],-0.3297504006713983,individuals per player
Random Forest,f1,[0.         0.02816901 0.60194175 0.56363636 0.        ],0.23874942505873725,individuals per player
Random Forest,f1_micro,[0.33636364 0.37272727 0.62727273 0.55963303 0.36697248],0.4525938281901585,individuals per player
Random Forest,f1_macro,[0.25170068 0.28254088 0.6257572  0.55959596 0.26845638],0.39761021943218144,individuals per player
Random Forest,f1_weighted,[0.25170068 0.28254088 0.6257572  0.55963303 0.27091928],0.3981102135237031,individuals per player
Random Forest,neg_log_loss,[-1.8230201  -1.03444484 -0.56374332 -0.66880734 -0.89142582],-0.996288284158755,individuals per player
Random Forest,precision,[0.         0.0625     0.64583333 0.56363636 0.        ],0.2543939393939394,individuals per player
Random Forest,recall,[0.         0.01818182 0.56363636 0.56363636 0.        ],0.2290909090909091,individuals per player
Random Forest,jaccard,[0.         0.01428571 0.43055556 0.39240506 0.        ],0.16744926662648182,individuals per player
Random Forest,roc_auc,[0.29652893 0.37933884 0.77157025 0.63350168 0.4020202 ],0.4965919804101622,individuals per player
Random Forest,roc_auc_ovr,[0.29652893 0.37933884 0.77157025 0.63350168 0.4020202 ],0.4965919804101622,individuals per player
Random Forest,roc_auc_ovo,[0.29652893 0.37933884 0.77157025 0.63350168 0.4020202 ],0.4965919804101622,individuals per player
Random Forest,roc_auc_ovr_weighted,[0.29652893 0.37933884 0.77157025 0.63350168 0.4020202 ],0.4965919804101622,individuals per player
Random Forest,roc_auc_ovo_weighted,[0.29652893 0.37933884 0.77157025 0.63350168 0.4020202 ],0.4965919804101622,individuals per player
Neural Net,accuracy,[0.5        0.5        0.84545455 0.50458716 0.50458716],0.5709257714762301,individuals per player
Neural Net,balanced_accuracy,[0.5        0.5        0.84545455 0.5        0.5       ],0.5690909090909091,individuals per player
Neural Net,average_precision,[0.51779461 0.52884615 0.71257259 0.74324324 0.33961679],0.5684146759818983,individuals per player
Neural Net,neg_brier_score,[-0.5        -0.5        -0.14588472 -0.48455943 -0.49541284],-0.4251713993512192,individuals per player
Neural Net,f1,[0.66666667 0.66666667 0.86614173 0.67073171 0.        ],0.5740413545867742,individuals per player
Neural Net,f1_micro,[0.5        0.5        0.84545455 0.50458716 0.50458716],0.5709257714762301,individuals per player
Neural Net,f1_macro,[0.33333333 0.33333333 0.84167302 0.33536585 0.33536585],0.43581427813262136,individuals per player
Neural Net,f1_weighted,[0.33333333 0.33333333 0.84167302 0.3384426  0.3384426 ],0.4370449785130196,individuals per player
Neural Net,neg_log_loss,[-15.23757058 -17.25491312  -0.4746155  -10.13632066 -15.08196329],-11.637076627309153,individuals per player
Neural Net,precision,[0.5        0.5        0.76388889 0.50458716 0.        ],0.4536952089704383,individuals per player
Neural Net,recall,[1. 1. 1. 1. 0.],0.8,individuals per player
Neural Net,jaccard,[0.5        0.5        0.76388889 0.50458716 0.        ],0.4536952089704383,individuals per player
Neural Net,roc_auc,[0.53057851 0.55454545 0.83438017 0.82407407 0.16296296],0.5813082338536885,individuals per player
