classifier,score_name,scoring,scoring avg,data
Random Forest,precision,[0.71597633 0.53422683 0.56373564 0.5882605  0.54388213],0.5892162864092769,individuals per game and player
Random Forest,recall,[0.32630547 0.90880118 0.73382353 0.67303922 0.83235294],0.6948644660119503,individuals per game and player
Random Forest,jaccard,[0.28890818 0.50704418 0.46803189 0.45751416 0.49018476],0.44233663452048394,individuals per game and player
Random Forest,roc_auc,[0.63405403 0.57869265 0.57161433 0.60155188 0.57806045],0.5927946693869743,individuals per game and player
Random Forest,roc_auc_ovr,[0.63405403 0.57869265 0.57161433 0.60155188 0.57806045],0.5927946693869743,individuals per game and player
Random Forest,roc_auc_ovo,[0.63405403 0.57869265 0.57161433 0.60155188 0.57806045],0.5927946693869743,individuals per game and player
Random Forest,roc_auc_ovr_weighted,[0.63405403 0.57869265 0.57161433 0.60155188 0.57806045],0.5927946693869743,individuals per game and player
Random Forest,roc_auc_ovo_weighted,[0.63405403 0.57869265 0.57161433 0.60155188 0.57806045],0.5927946693869743,individuals per game and player
Neural Net,accuracy,[0.46539974 0.58715596 0.53486239 0.45714286 0.46526868],0.5019659239842726,individuals per game and player
Neural Net,balanced_accuracy,[0.5        0.6060204  0.5091608  0.48748032 0.5       ],0.5205323034411837,individuals per game and player
Neural Net,average_precision,[0.4300817  0.64703762 0.53846328 0.51640676 0.48292361],0.5229825938858947,individuals per game and player
Neural Net,neg_brier_score,[-0.53460026 -0.36324921 -0.44532686 -0.52495122 -0.53473132],-0.4805717752577189,individuals per game and player
Neural Net,f1,[0.         0.46337308 0.66902919 0.09086918 0.        ],0.24465429131241123,individuals per game and player
Neural Net,f1_micro,[0.46539974 0.58715596 0.53486239 0.45714286 0.46526868],0.5019659239842726,individuals per game and player
Neural Net,f1_macro,[0.31759234 0.56395491 0.44339712 0.35195552 0.31753131],0.3988862394386087,individuals per game and player
Neural Net,f1_weighted,[0.29561479 0.5569946  0.45907012 0.33381977 0.29547474],0.38819480263157397,individuals per game and player
Neural Net,neg_log_loss,[-18.40768475  -2.24942589 -11.43137339  -6.38894962 -15.79307496],-10.85410172467859,individuals per game and player
Neural Net,precision,[0.         0.75935232 0.53996688 0.43487395 0.        ],0.3468386298307459,individuals per game and player
Neural Net,recall,[0.         0.33341505 0.87916667 0.05073529 0.        ],0.2526634026986622,individuals per game and player
Neural Net,jaccard,[0.         0.30155211 0.50266256 0.04759715 0.        ],0.1703623622507598,individuals per game and player
Neural Net,roc_auc,[0.30087999 0.62072374 0.50715527 0.47547439 0.4570145 ],0.4722495784538131,individuals per game and player
Neural Net,roc_auc_ovr,[0.30087999 0.62072374 0.50715527 0.47547439 0.4570145 ],0.4722495784538131,individuals per game and player
Neural Net,roc_auc_ovo,[0.30087999 0.62072374 0.50715527 0.47547439 0.4570145 ],0.4722495784538131,individuals per game and player
Neural Net,roc_auc_ovr_weighted,[0.30087999 0.62072374 0.50715527 0.47547439 0.4570145 ],0.4722495784538131,individuals per game and player
Neural Net,roc_auc_ovo_weighted,[0.30087999 0.62072374 0.50715527 0.47547439 0.4570145 ],0.4722495784538131,individuals per game and player
AdaBoost,accuracy,[0.5853211  0.59357798 0.5785059  0.62988204 0.56539974],0.5905373525557012,individuals per game and player
AdaBoost,balanced_accuracy,[0.59956544 0.58887931 0.5723091  0.63604633 0.54810688],0.5889814113880874,individuals per game and player
AdaBoost,average_precision,[0.69182511 0.64782772 0.68251252 0.64770386 0.68840786],0.6716554128730479,individuals per game and player
AdaBoost,neg_brier_score,[-0.2531549  -0.2503565  -0.24817091 -0.25416592 -0.24819777],-0.250809198980403,individuals per game and player
AdaBoost,f1,[0.50376412 0.6334082  0.62665428 0.61262003 0.66232179],0.6077536846264088,individuals per game and player
AdaBoost,f1_micro,[0.5853211  0.59357798 0.5785059  0.62988204 0.56539974],0.5905373525557012,individuals per game and player
AdaBoost,f1_macro,[0.57380912 0.58872292 0.5713771  0.62914565 0.52638148],0.5778872537864136,individuals per game and player
AdaBoost,f1_weighted,[0.56896197 0.59181517 0.5752168  0.62799773 0.53582426],0.5799631846164939,individuals per game and player
AdaBoost,neg_log_loss,[-0.69986385 -0.69407635 -0.68948798 -0.70204478 -0.68954174],-0.6950029381280094,individuals per game and player
AdaBoost,precision,[0.69917283 0.61164384 0.59528011 0.69563863 0.56655052],0.6336571855092542,individuals per game and player
AdaBoost,recall,[0.39372395 0.65677862 0.66151961 0.54730392 0.79705882],0.611276985420302,individuals per game and player
AdaBoost,jaccard,[0.33668763 0.46349481 0.45629755 0.44156615 0.49512789],0.43863480561420876,individuals per game and player
